centre,intensity,sigma,log_likelihood,log_prior,log_posterior,weights
51.16394431907357,1.0429887542643232,10.0369741784084,-54647.34199686331,0.9588104503509847,-54646.38318641296,1.0
49.771308389749045,1.004314542132648,10.007432575401483,-54665.031841305514,0.9957050980333649,-54664.036136207484,1.0
49.4246292903187,1.043413318247798,10.086228773328408,-54647.26994130081,0.9585416885567983,-54646.31139961225,1.0
51.15110496575784,1.3774852190476126,10.377915381053178,-54474.67386876783,0.7288170035280385,-54473.945051764305,1.0
49.581644928010604,0.9970044269658083,9.976896513231393,-54668.025405928194,1.0030152488754254,-54667.02239067932,1.0
50.085799988142156,0.9113689067145556,10.057375720572638,-54723.799529811055,1.0973163520001177,-54722.70221345905,1.0
50.62481073343028,1.0746503116849166,10.015750920934984,-54624.039293757385,0.9305402151370474,-54623.10875354225,1.0
50.20527960448206,1.1722686006090306,10.198398417437957,-54576.859713791906,0.8538340569898649,-54576.00587973492,1.0
50.84334213067962,1.0695238710895618,10.017465195091365,-54628.22965732866,0.9350015944792368,-54627.29465573418,1.0
50.85143295772338,0.9779492184940777,10.091511763655914,-54687.628997106985,1.0227154701910923,-54686.60628163679,1.0
50.50534873743907,1.073255949060628,10.008813061616257,-54624.016366562275,0.9317457481341975,-54623.08462081414,1.0
50.784775806647744,1.12813562668245,10.059644546289789,-54595.55749987674,0.8864893923763819,-54594.671010484366,1.0
49.948103637207105,0.9555055780631965,10.010565194992187,-54694.538444407284,1.0465685979160664,-54693.49187580937,1.0
50.550959458533846,1.0349544587792392,10.070914901998439,-54651.079250035305,0.966326668433338,-54650.11292336687,1.0
48.94188386420169,1.1478394663876845,10.23023435529863,-54597.19322748833,0.8722621233681456,-54596.32096536496,1.0
51.363223985272604,1.1463378983039603,9.834260894456836,-54573.49946183093,0.8728925275326188,-54572.62656930339,1.0
49.37677035025968,1.154605228403132,10.201324440195778,-54588.81720177075,0.8669075227716437,-54587.950294247974,1.0
50.76484659630662,1.1856649291564463,10.151250520973532,-54567.457198332995,0.8438661361149109,-54566.61333219688,1.0
49.5845506912754,0.9497391029779627,10.098600139163889,-54703.569401890396,1.0531151806812318,-54702.51628670972,1.0
49.14228649205583,0.9751014580593776,9.899622211768856,-54678.51380748696,1.025735823011694,-54677.48807166395,1.0
50.179653631146515,1.0047887662137196,9.940044020778263,-54660.49418487528,0.9953059511630655,-54659.49887892412,1.0
51.107535698660506,1.0356163418347202,9.943889145647004,-54645.63518960294,0.9656715241645649,-54644.66951807877,1.0
49.43143260584883,1.1448454696875572,9.927720843996156,-54575.81568275813,0.873584816696838,-54574.942097941435,1.0
50.09504655144317,0.9954084590707835,10.000155302459714,-54669.77940598398,1.0046127209062146,-54668.774793263074,1.0
51.36006035603881,1.1740558591330457,10.201063774176488,-54581.83726785553,0.852556762878785,-54580.98471109265,1.0
52.181328907827016,1.1005059642718331,9.71758161594573,-54603.72012159479,0.9102681519212187,-54602.80985344287,1.0
49.560223780882005,1.0677314022481612,9.892746589272752,-54619.82653542955,0.936795196302179,-54618.88974023325,1.0
51.256118905468924,1.0026067669109016,9.943790214417833,-54666.63599611213,0.9974632014551948,-54665.63853291067,1.0
50.68730836794385,1.0697861823332036,10.011709044124137,-54626.96109202838,0.9347689752445525,-54626.026323053135,1.0
